3,"[1, 2, 3]"
4,"[1, 3, 8, 12]"
5,"[1, 4, 15, 40, 60]"
6,"[1, 5, 24, 90, 240, 360]"
7,"[1, 6, 35, 168, 630, 1680, 2520]"
8,"[1, 7, 48, 280, 1344, 5040, 13440, 20160]"
