epoch,train_loss,vertices_seen,data_gen_time,train_epoch_time,val_loss,val_vertices_seen,val_gen_time,best_val_loss
1,83.66011373655482,1015344,1.753514289855957,17.88075590133667,80.29749318325159,33792,2.4748122692108154,80.29749318325159
2,77.13701316054315,1015344,0.5522246360778809,4.542782306671143,74.70489956393386,33792,2.4748122692108154,74.70489956393386
3,71.30037659044389,1015344,0.24798011779785156,6.86295747756958,68.60923457868171,33792,2.4748122692108154,68.60923457868171
4,66.05251353324914,1015344,1.4838078022003174,8.159419775009155,63.86314634843306,33792,2.4748122692108154,63.86314634843306
5,61.338755371166364,1015344,0.7202694416046143,8.311277627944946,59.32639127789122,33792,2.4748122692108154,59.32639127789122
6,57.09454122293957,1015344,1.0789871215820312,6.100787162780762,55.24742472894264,33792,2.4748122692108154,55.24742472894264
7,53.29021275051941,1015344,0.4375886917114258,5.623728513717651,51.805323831962816,33792,2.4748122692108154,51.805323831962816
8,49.882860246503625,1015344,1.8232054710388184,7.867700099945068,48.60130024317539,33792,2.4748122692108154,48.60130024317539
9,46.857901931799006,1015344,1.6737279891967773,8.59430193901062,45.900609038092874,33792,2.4748122692108154,45.900609038092874
10,44.338220969944494,1015344,1.044356107711792,7.527812242507935,43.54794577035037,33792,2.4748122692108154,43.54794577035037
11,42.08005667886202,1015344,0.6396477222442627,3.819706678390503,41.38254808295857,33792,2.4748122692108154,41.38254808295857
12,40.18011422124902,1015344,0.6570119857788086,6.472342014312744,39.31485107089534,33792,2.4748122692108154,39.31485107089534
13,38.61737720128404,1015344,0.8083596229553223,5.46171760559082,37.79538354367921,33792,2.4748122692108154,37.79538354367921
14,37.14480927668318,1015344,1.0037877559661865,8.279693841934204,36.448175459197074,33792,2.4748122692108154,36.448175459197074
15,35.92848625231797,1015344,1.538313627243042,8.793923377990723,35.73135975996653,33792,2.4748122692108154,35.73135975996653
16,35.04798142745708,1015344,1.0680460929870605,7.651501178741455,34.18456324302789,33792,2.4748122692108154,34.18456324302789
17,34.16022201158414,1015344,0.72340989112854,5.795666694641113,33.51181621262521,33792,2.4748122692108154,33.51181621262521
18,33.50832553852044,1015344,0.4128570556640625,7.788599729537964,32.961833238601685,33792,2.4748122692108154,32.961833238601685
19,32.93300420275126,1015344,1.654625415802002,8.51922607421875,32.519921924128674,33792,2.4748122692108154,32.519921924128674
20,32.568136934609726,1015344,1.4681799411773682,8.430304527282715,32.19823547746196,33792,2.4748122692108154,32.19823547746196
21,32.16044225022341,1015344,1.8433983325958252,5.650425672531128,31.858902765042853,33792,2.4748122692108154,31.858902765042853
22,31.999646737446703,1015344,0.7827460765838623,6.7100300788879395,31.563916018514924,33792,2.4748122692108154,31.563916018514924
23,31.80130460128961,1015344,1.5605409145355225,8.608739137649536,31.406939457763325,33792,2.4748122692108154,31.406939457763325
24,31.526712226173373,1015344,1.4994523525238037,8.78023362159729,31.210318332368676,33792,2.4748122692108154,31.210318332368676
25,31.52556816492649,1015344,0.43459296226501465,6.255998849868774,31.122427848252382,33792,2.4748122692108154,31.122427848252382
26,31.26985886381025,1015344,0.38301634788513184,5.350813388824463,31.04774137879863,33792,2.4748122692108154,31.04774137879863
27,31.27480163496673,1015344,1.263756513595581,8.015459537506104,31.00263055526849,33792,2.4748122692108154,31.00263055526849
28,31.10547931533304,1015344,1.358747959136963,7.990965366363525,30.969195633223563,33792,2.4748122692108154,30.969195633223563
29,31.24689325185275,1015344,1.8474810123443604,8.279109477996826,30.93774060227654,33792,2.4748122692108154,30.93774060227654
30,31.163079063903524,1015344,0.7187845706939697,4.977771520614624,30.861053414417036,33792,2.4748122692108154,30.861053414417036
