epoch,train_loss,train_top1,vertices_seen,label_time,optim_time,epoch_time,val_loss,val_top1,best_val_loss
1,4.155560657382011,0.35516357421875,32768,1.4613018035888672,1.3284912109375,3.7074711322784424,3.8370383828878403,0.357025146484375,3.8370383828878403
2,3.8782159239053726,0.34954833984375,32768,1.3953285217285156,0.39817261695861816,2.6542153358459473,3.79013454914093,0.355010986328125,3.79013454914093
3,3.825320303440094,0.355194091796875,32768,1.543623924255371,0.4416830539703369,2.7246689796447754,3.8071628138422966,0.3578033447265625,3.79013454914093
4,3.7727013677358627,0.357269287109375,32768,1.6694691181182861,0.4968140125274658,2.8780195713043213,3.811403304338455,0.3572540283203125,3.79013454914093
5,3.774794563651085,0.3575439453125,32768,1.6257257461547852,0.5153481960296631,2.8460114002227783,3.832304261624813,0.3553619384765625,3.79013454914093
6,3.7977789640426636,0.362396240234375,32768,1.6301689147949219,0.4643106460571289,3.030355453491211,3.7510026171803474,0.361053466796875,3.7510026171803474
7,3.746474876999855,0.3621826171875,32768,1.409235954284668,0.40648984909057617,2.4469199180603027,3.775771662592888,0.359100341796875,3.7510026171803474
8,3.759174570441246,0.358795166015625,32768,1.420508623123169,0.4209613800048828,2.497467279434204,3.7635793909430504,0.3622894287109375,3.7510026171803474
9,3.777707740664482,0.357208251953125,32768,1.481539011001587,0.41356348991394043,2.5512290000915527,3.8093801140785217,0.3548583984375,3.7510026171803474
10,3.81592620909214,0.356842041015625,32768,1.5107882022857666,0.5040252208709717,2.6689345836639404,3.7779226899147034,0.3599853515625,3.7510026171803474
11,3.7824641913175583,0.356292724609375,32768,1.4149417877197266,0.38773465156555176,2.438678503036499,3.756550393998623,0.3581695556640625,3.7510026171803474
12,3.7806505858898163,0.359466552734375,32768,1.3956587314605713,0.38062238693237305,2.407895088195801,3.759306587278843,0.359344482421875,3.7510026171803474
13,3.758870705962181,0.35711669921875,32768,1.372833490371704,0.39015913009643555,2.609539747238159,3.7384250462055206,0.3587493896484375,3.7384250462055206
14,3.753123164176941,0.35693359375,32768,1.5060148239135742,0.47360801696777344,2.6454617977142334,3.745620511472225,0.3603668212890625,3.7384250462055206
15,3.758415848016739,0.360595703125,32768,1.4612736701965332,0.46511387825012207,2.5800015926361084,3.7694332972168922,0.361297607421875,3.7384250462055206
16,3.789455369114876,0.363555908203125,32768,1.4475200176239014,0.43905186653137207,2.5381736755371094,3.777787871658802,0.3616790771484375,3.7384250462055206
17,3.731303036212921,0.360931396484375,32768,1.4408533573150635,0.41542696952819824,2.512660503387451,3.7496795430779457,0.363189697265625,3.7384250462055206
18,3.759589433670044,0.363006591796875,32768,1.557760238647461,0.48194193840026855,2.7244343757629395,3.751910947263241,0.3566131591796875,3.7384250462055206
19,3.728691205382347,0.35223388671875,32768,1.534728765487671,0.45323729515075684,2.968724489212036,3.735085114836693,0.357086181640625,3.735085114836693
20,3.7088983058929443,0.36016845703125,32768,1.5380730628967285,0.45809292793273926,2.665431261062622,3.7389042526483536,0.3617401123046875,3.735085114836693
21,3.7473476976156235,0.363739013671875,32768,1.493906021118164,0.4419078826904297,2.6129400730133057,3.7500574812293053,0.3612060546875,3.735085114836693
22,3.788535386323929,0.354217529296875,32768,1.5450446605682373,0.44773006439208984,2.666550636291504,3.765020690858364,0.356170654296875,3.735085114836693
23,3.7750968039035797,0.35595703125,32768,1.430051326751709,0.4112577438354492,2.5182340145111084,3.7996067255735397,0.3584442138671875,3.735085114836693
24,3.818138211965561,0.353302001953125,32768,1.4225575923919678,0.39119672775268555,2.466939926147461,3.768306478857994,0.3607330322265625,3.735085114836693
25,3.7181848734617233,0.364013671875,32768,1.4234716892242432,0.4182450771331787,2.5003554821014404,3.740456148982048,0.3592529296875,3.735085114836693
26,3.759297549724579,0.358062744140625,32768,1.4257707595825195,0.4283754825592041,2.5008506774902344,3.7360235676169395,0.36053466796875,3.735085114836693
27,3.7509121000766754,0.356658935546875,32768,1.4436416625976562,0.4332740306854248,2.861443519592285,3.7126810625195503,0.364593505859375,3.7126810625195503
28,3.695483759045601,0.3599853515625,32768,1.4490952491760254,0.4264659881591797,2.524092674255371,3.718306854367256,0.3598175048828125,3.7126810625195503
29,3.7986574321985245,0.35479736328125,32768,1.5454137325286865,0.4706599712371826,2.745189905166626,3.8433584794402122,0.35565185546875,3.7126810625195503
30,3.7645109444856644,0.356903076171875,32768,1.498596429824829,0.47343873977661133,2.643376111984253,3.76015517860651,0.35943603515625,3.7126810625195503
31,3.7125465869903564,0.358245849609375,32768,1.5307166576385498,0.4484896659851074,2.63796067237854,3.7238742113113403,0.3621673583984375,3.7126810625195503
32,3.7177509516477585,0.35894775390625,32768,1.394890308380127,0.4123401641845703,2.4452271461486816,3.749070890247822,0.36444091796875,3.7126810625195503
33,3.7400699853897095,0.3609619140625,32768,1.4443256855010986,0.4868888854980469,2.653989553451538,3.7395367547869682,0.3624725341796875,3.7126810625195503
34,3.7105547934770584,0.360107421875,32768,1.4767582416534424,0.4388549327850342,2.6049106121063232,3.7405995056033134,0.35833740234375,3.7126810625195503
35,3.72087924182415,0.35357666015625,32768,1.5241341590881348,0.4439210891723633,2.661449670791626,3.7455613240599632,0.3585052490234375,3.7126810625195503
36,3.7363445460796356,0.36175537109375,32768,1.5529167652130127,0.45366621017456055,2.668269157409668,3.782250054180622,0.3571624755859375,3.7126810625195503
37,3.7652149349451065,0.3582763671875,32768,1.4417445659637451,0.43993139266967773,2.5230281352996826,3.7159114703536034,0.354705810546875,3.7126810625195503
38,3.7285927832126617,0.356201171875,32768,1.4066364765167236,0.41196298599243164,2.4490935802459717,3.7322626635432243,0.3618621826171875,3.7126810625195503
